,placekey,parent_placekey,location_name,safegraph_brand_ids,brands,top_category,sub_category,naics_code,latitude,longitude,street_address,city,region,postal_code,iso_country_code,phone_number,open_hours,category_tags,opened_on,closed_on,tracking_closed_since,geometry_type
80,224-222@8gq-2zf-dqf,,Ameris Bank,SG_BRAND_af299b410f6f40f2832dcb33e06819e0,Ameris Bank,Depository Credit Intermediation,Commercial Banking,522110.0,31.047367,-81.411086,31 Main St Unit 101,Jekyll Island,GA,31527,US,,"{ ""Mon"": [[""9:00"", ""16:00""]], ""Tue"": [[""9:00"", ""16:00""]], ""Wed"": [[""9:00"", ""16:00""]], ""Thu"": [[""9:00"", ""16:00""]], ""Fri"": [[""9:00"", ""17:00""]], ""Sat"": [], ""Sun"": [] }",,,,2019-07,POLYGON
81,zzw-222@627-ryv-p35,,St Gregorios Malankara Orthodox Church Queens Inc,,,Religious Organizations,Religious Organizations,813110.0,40.735738,-73.697426,175 Cherry Ln,North New Hyde Park,NY,11001,US,15167752281.0,,,,,2019-07,POLYGON
82,zzw-222@5vh-bfc-vs5,,Riar Academy of Performing Arts,,,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,713940.0,37.416902,-121.877057,1535 Landess Ave Ste 106,Milpitas,CA,95035,US,,"{ ""Mon"": [[""9:00"", ""21:00""]], ""Tue"": [[""9:00"", ""21:00""]], ""Wed"": [[""9:00"", ""21:00""]], ""Thu"": [[""9:00"", ""21:00""]], ""Fri"": [[""9:00"", ""21:00""]], ""Sat"": [[""9:00"", ""21:00""]], ""Sun"": [[""9:00"", ""21:00""]] }",,,,2019-07,POLYGON
83,zzy-222@8dz-c5c-k2k,,Saint Paul Cemetery,,,Death Care Services,Cemeteries and Crematories,812220.0,33.672628,-92.777836,Saint Paul Cemetery,Camden,AR,71701,US,,,,,,2019-07,POLYGON
84,zzw-222@5pn-bkj-4vz,,Malugin Heating And Cooling,,,"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers",Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers,423730.0,36.458702,-87.380685,2287 River Rd,Clarksville,TN,37040,US,19318025789.0,,,,,2019-07,POLYGON
85,zzw-229@627-s86-fpv,zzy-222@627-s86-fpv,Skechers,SG_BRAND_73bcd2a79c09921b15bd63688ddb850f,Skechers,Shoe Stores,Shoe Stores,448210.0,40.652994,-73.872742,410 Gateway Dr,Brooklyn,NY,11239,US,17182772801.0,"{ ""Mon"": [[""10:00"", ""21:00""]], ""Tue"": [[""10:00"", ""21:00""]], ""Wed"": [[""10:00"", ""21:00""]], ""Thu"": [[""10:00"", ""21:00""]], ""Fri"": [[""10:00"", ""21:00""]], ""Sat"": [[""10:00"", ""21:00""]], ""Sun"": [[""11:00"", ""19:00""]] }",,,,2019-07,POLYGON
86,222-222@5xd-d9j-nyv,,Onalaska High School,,,Elementary and Secondary Schools,Elementary and Secondary Schools,611110.0,46.582059,-122.718817,540 Carlisle Ave,Onalaska,WA,98570,US,13609784113.0,,,,,2019-07,POLYGON
87,22m-222@5qw-dyc-g8v,,Vitality Yoga,,,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,713940.0,32.440833,-97.794726,222 S Morgan St,Granbury,TX,76048,US,12543963632.0,,,,2020-01,2019-07,POLYGON
88,22d-222@8fc-8v3-9fz,,Reflecto Signs and Graphics,,,Other Miscellaneous Manufacturing,Sign Manufacturing,339950.0,29.641621,-95.252534,8735 Dexter St,Houston,TX,77075,US,18326416993.0,,,,,2019-07,POLYGON
89,zzw-222@63c-f48-3dv,,E & E Restorations and Service,,,Automotive Repair and Maintenance,General Automotive Repair,811111.0,38.565906,-78.704094,1786 Arkton Rd,Broadway,VA,22815,US,15404211095.0,"{ ""Mon"": [[""8:30"", ""17:00""]], ""Tue"": [[""8:30"", ""17:00""]], ""Wed"": [[""8:30"", ""17:00""]], ""Thu"": [[""8:30"", ""17:00""]], ""Fri"": [[""8:30"", ""17:00""]], ""Sat"": [], ""Sun"": [] }",,,,2019-07,POLYGON
90,229-222@8fc-9t9-7h5,,AT&T,SG_BRAND_5deb800ce9500e72e355137ab8b48fb6,AT&T,Wired and Wireless Telecommunications Carriers,Wireless Telecommunications Carriers (except Satellite),517312.0,30.040389,-95.487964,18568B Kuykendahl Rd,Spring,TX,77379,US,,,,,,2019-07,POLYGON
91,zzw-222@8gp-3r3-3t9,,Cash America,SG_BRAND_8e4dd7bd1eafa28b,Cash America,Nondepository Credit Intermediation,All Other Nondepository Credit Intermediation,522298.0,30.313057,-81.577249,7640 Atlantic Blvd,Jacksonville,FL,32211,US,19047212555.0,"{ ""Mon"": [[""9:00"", ""19:00""]], ""Tue"": [[""9:00"", ""19:00""]], ""Wed"": [[""9:00"", ""19:00""]], ""Thu"": [[""9:00"", ""19:00""]], ""Fri"": [[""9:00"", ""19:00""]], ""Sat"": [[""9:00"", ""18:00""]], ""Sun"": [] }",,,,2019-07,POLYGON
92,zzw-222@8t2-fj3-z2k,,Chick-fil-A,SG_BRAND_4b56bb21dd2aebd521e2ffff47f524fb,Chick-fil-A,Restaurants and Other Eating Places,Limited-Service Restaurants,722513.0,30.285061,-97.735936,2201 Speedway,Austin,TX,78712,US,15124856508.0,,"Counter Service,Lunch,Fast Food,Drive Through,Breakfast,Dinner,Burgers",,,2020-11,POLYGON
93,zzw-222@8td-2f2-ty9,zzw-223@8td-2f2-ty9,Western New Mexico University Jose,,,Child Day Care Services,Child Day Care Services,624410.0,32.782341,-108.279011,1625 Little Walnut Rd,Silver City,NM,88061,US,,,,,,2019-07,POLYGON
94,222-222@5pr-4q9-z9f,,All Star Dog Sports,,,Other Personal Services,Pet Care (except Veterinary) Services,812910.0,38.9647,-94.276095,8316 SW State Route 7,Blue Springs,MO,64014,US,17853200586.0,,,,,2019-07,POLYGON
95,224-223@8fw-33g-hkf,224-224@8fw-33g-hkf,Park Avenue Gymnastics,,,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,713940.0,26.052784,-80.311478,12239 SW 53rd St,Cooper City,FL,33330,US,19544340099.0,,,,,2019-07,POLYGON
96,225-222@8g6-yqy-p7q,,Energy One Federal Credit Union,,,Depository Credit Intermediation,Credit Unions,522130.0,33.981115,-84.521866,1165 Allgood Rd Ste 8,Marietta,GA,30062,US,16785604856.0,,,,2020-01,2019-07,POLYGON
97,zzw-222@628-k36-vs5,,Springbrook Pet Clinic,,,"Other Professional, Scientific, and Technical Services",Veterinary Services,541940.0,41.321423,-75.564362,425 Swartz Valley Rd,Spring Brook Township,PA,18444,US,15708423998.0,,,,,2019-07,POLYGON
98,22f-223@63g-rf3-ghq,,Dance Trance,,,Other Schools and Instruction,Sports and Recreation Instruction,611620.0,37.588981,-77.499916,5470 W Broad St,Richmond,VA,23230,US,18049716103.0,,,,,2019-07,POLYGON
99,226-222@629-259-dgk,,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,Subway,Restaurants and Other Eating Places,Limited-Service Restaurants,722513.0,41.984446,-72.448004,12 South Rd,Somers,CT,6071,US,18607497907.0,,"Counter Service,Sandwich Shop,Lunch,Breakfast,Dinner",,,2019-07,POLYGON
