,placekey,parent_placekey,location_name,safegraph_brand_ids,brands,top_category,sub_category,naics_code,latitude,longitude,street_address,city,region,postal_code,iso_country_code,phone_number,open_hours,category_tags,opened_on,closed_on,tracking_closed_since,geometry_type
198,226-222@63t-zy8-nt9,,Happy's Pizza,SG_BRAND_57d07697656990c4,Happy's Pizza,Restaurants and Other Eating Places,Full-Service Restaurants,722511.0,41.941404,-83.405435,1433 N Telegraph Rd,Monroe,MI,48162,US,17342402222.0,"{ ""Mon"": [[""10:00"", ""24:00""]], ""Tue"": [[""10:00"", ""24:00""]], ""Wed"": [[""10:00"", ""24:00""]], ""Thu"": [[""10:00"", ""24:00""]], ""Fri"": [[""10:00"", ""24:00""]], ""Sat"": [[""0:00"", ""1:00""], [""10:00"", ""24:00""]], ""Sun"": [[""0:00"", ""1:00""], [""11:00"", ""24:00""]] }","BBQ and Southern Food,Counter Service,Late Night,Pizza,Chicken Wings,Lunch,Catering,Dinner",,,2019-07,POLYGON
199,zzy-222@5qz-jqn-mzf,,Cam Everett's,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511.0,35.677306,-101.394588,1020 Megert Shopping Ctr,Borger,TX,79007,US,18068860336.0,,,,2020-01,2019-07,POLYGON
200,zzw-229@63s-t2c-vpv,,Southern States Cooperative,SG_BRAND_b171fe50c25853ab56e1f134afc569ac,Southern States Cooperative,Miscellaneous Nondurable Goods Merchant Wholesalers,Farm Supplies Merchant Wholesalers,424910.0,39.366829,-77.166215,1312 S Main St,Mount Airy,MD,21771,US,13018317600.0,"{ ""Mon"": [[""7:30"", ""18:00""]], ""Tue"": [[""7:30"", ""18:00""]], ""Wed"": [[""7:30"", ""18:00""]], ""Thu"": [[""7:30"", ""18:00""]], ""Fri"": [[""7:30"", ""18:00""]], ""Sat"": [[""7:30"", ""18:00""]], ""Sun"": [[""9:00"", ""17:00""]] }",,,,,POLYGON
201,zzy-222@5s8-cg2-rff,,Jerusalem Halal Market,,,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110.0,45.058495,-93.246788,4945 Old Central Ave,Columbia Heights,MN,55421,US,17635741986.0,"{ ""Mon"": [[""10:00"", ""21:00""]], ""Tue"": [[""10:00"", ""21:00""]], ""Wed"": [[""10:00"", ""21:00""]], ""Thu"": [[""10:00"", ""21:00""]], ""Fri"": [[""10:00"", ""21:00""]], ""Sat"": [[""10:00"", ""21:00""]], ""Sun"": [[""10:00"", ""21:00""]] }",,,,2019-07,POLYGON
202,22f-222@5pw-623-s89,227-223@5pw-623-s89,Midwest Dreams Realty,,,Offices of Real Estate Agents and Brokers,Offices of Real Estate Agents and Brokers,531210.0,41.89303,-87.62916,33 W Ontario St Apt 16B,Chicago,IL,60654,US,17738959423.0,,,,,2019-07,POLYGON
203,225-222@8fv-zn3-pvz,,Continucare Corporation,,,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),621111.0,26.010555,-80.196099,5201 Hollywood Blvd,Hollywood,FL,33021,US,19549815200.0,"{ ""Mon"": [[""9:00"", ""17:00""]], ""Tue"": [[""9:00"", ""17:00""]], ""Wed"": [[""9:00"", ""17:00""]], ""Thu"": [[""9:00"", ""17:00""]], ""Fri"": [[""9:00"", ""17:00""]], ""Sat"": [], ""Sun"": [] }",,,2020-01,2019-07,POLYGON
204,22g-222@8tm-nq8-mx5,,Guardian Mortgage,,,Activities Related to Credit Intermediation,Mortgage and Nonmortgage Loan Brokers,522310.0,35.687727,-105.939276,62 Lincoln Ave,Santa Fe,NM,87501,US,,,,,,2019-07,POLYGON
205,222-224@5pw-24g-3qz,,Circle K Gas,SG_BRAND_bcb7ef2fa5a497d6,Circle K Gas,Gasoline Stations,Gasoline Stations with Convenience Stores,447110.0,41.628583,-87.931647,12819 W 143rd St,Homer Glen,IL,60491,US,,,,,,2021-03,POLYGON
206,228-223@5xc-jv8-qpv,,Western Union,SG_BRAND_9ee39f394d21a7f4848ab78a78da00c3,Western Union,Activities Related to Credit Intermediation,Other Activities Related to Credit Intermediation,522390.0,45.524135,-122.692678,100 NW 20th Pl,Portland,OR,97209,US,15037214100.0,,,,,2021-02,POLYGON
207,224-222@5sb-d38-zvf,,French 4U,,,Personal Care Services,Nail Salons,812113.0,42.169643,-87.921727,2009 Milwaukee Ave,Riverwoods,IL,60015,US,18475414050.0,"{ ""Mon"": [[""9:00"", ""19:00""]], ""Tue"": [[""9:00"", ""19:00""]], ""Wed"": [[""9:00"", ""19:00""]], ""Thu"": [[""9:00"", ""19:00""]], ""Fri"": [[""9:00"", ""19:00""]], ""Sat"": [[""9:00"", ""18:00""]], ""Sun"": [[""11:30"", ""16:30""]] }",,,,2019-07,POLYGON
208,zzw-224@628-fxq-xbk,zzw-222@628-fxq-wzf,Giant Food Stores,SG_BRAND_66bde8c0f4a4dfdaea9291efa4b3c7a1,Giant Food Stores,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110.0,40.647673,-75.491368,2651 MacArthur Rd,Whitehall,PA,18052,US,,,,,,2020-11,POLYGON
209,222-222@5sc-cqn-47q,,M R Foods,,,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110.0,43.077469,-87.914133,3249 N 3rd St,Milwaukee,WI,53212,US,14142651165.0,,,,,2019-07,POLYGON
210,zzw-223@63p-jgf-vvf,,Clarion Chrysler Dodge Jeep,"SG_BRAND_f0049acd3951499d61b0f23667fa9bbc,SG_BRAND_6de27f14a548638fb353767a3eb4bba8,SG_BRAND_80ca06abfa1a5104af9a770f485dad07,SG_BRAND_a79fa98d177070d8,SG_BRAND_ee92098e8d8fb93a9ac3870c3e94e201","Dodge,Chrysler,Ford Motor Company,Ram,Jeep",Automobile Dealers,New Car Dealers,441110.0,41.208595,-79.365985,1305 E Main St Ste A,Clarion,PA,16214,US,,,,,,2019-09,POLYGON
211,zzw-223@8ts-zfd-xkf,,Tempe Mission Palms,SG_BRAND_5b7d18a697f68edf,Destination by Hyatt,Traveler Accommodation,Hotels (except Casino Hotels) and Motels,721110.0,33.426069,-111.938871,60 E 5th St,Tempe,AZ,85281,US,,"{ ""Mon"": [[""0:00"", ""24:00""]], ""Tue"": [[""0:00"", ""24:00""]], ""Wed"": [[""0:00"", ""24:00""]], ""Thu"": [[""0:00"", ""24:00""]], ""Fri"": [[""0:00"", ""24:00""]], ""Sat"": [[""0:00"", ""24:00""]], ""Sun"": [[""0:00"", ""24:00""]] }",,,,2019-07,POLYGON
212,22q-223@627-s6b-mx5,,Benitez Auto Sales,,,Automobile Dealers,Used Car Dealers,441120.0,40.819397,-73.901028,853 Longwood Ave,Bronx,NY,10459,US,,,,,,2019-07,POLYGON
213,223-222@63v-zsr-nkf,,Conner Street Pub,,,Drinking Places (Alcoholic Beverages),Drinking Places (Alcoholic Beverages),722410.0,42.940763,-82.451396,2326 Conner St,Port Huron,MI,48060,US,18102166462.0,"{ ""Mon"": [[""11:00"", ""22:00""]], ""Tue"": [[""11:00"", ""22:00""]], ""Wed"": [[""11:00"", ""22:00""]], ""Thu"": [[""11:00"", ""22:00""]], ""Fri"": [[""11:00"", ""24:00""]], ""Sat"": [[""11:00"", ""24:00""]], ""Sun"": [[""12:00"", ""20:00""]] }","Bar or Pub,Late Night,American Food",,,2019-07,POLYGON
214,zzz-222@8fc-96t-k4v,,Hirsh Memorial Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190.0,29.996481,-95.257056,100 North Houston Avenue,Humble,TX,77338,US,12814462327.0,"{ ""Mon"": [[""7:00"", ""19:00""]], ""Tue"": [[""7:00"", ""19:00""]], ""Wed"": [[""7:00"", ""19:00""]], ""Thu"": [[""7:00"", ""19:00""]], ""Fri"": [[""7:00"", ""19:00""]], ""Sat"": [[""7:00"", ""19:00""]], ""Sun"": [[""7:00"", ""19:00""]] }",,,,2019-07,POLYGON
215,222-222@63n-6pf-snq,,Mountain Art Glass,,,Glass and Glass Product Manufacturing,Other Pressed and Blown Glass and Glassware Manufacturing,327212.0,38.058891,-81.098297,145 Sarah St,Fayetteville,WV,25840,US,13048947905.0,"{ ""Mon"": [], ""Tue"": [], ""Wed"": [[""12:00"", ""17:00""]], ""Thu"": [[""12:00"", ""17:00""]], ""Fri"": [[""12:00"", ""17:00""]], ""Sat"": [[""10:00"", ""17:00""]], ""Sun"": [] }",,,2020-01,2019-07,POLYGON
216,zzw-222@5q9-6z6-249,,The French Kitchen,,,Bakeries and Tortilla Manufacturing,Retail Bakeries,311811.0,38.901965,-104.767013,4771 N Academy Blvd,Colorado Springs,CO,80918,US,17195286295.0,"{ ""Mon"": [], ""Tue"": [[""7:00"", ""18:00""]], ""Wed"": [[""7:00"", ""18:00""]], ""Thu"": [[""7:00"", ""18:00""]], ""Fri"": [[""7:00"", ""18:00""]], ""Sat"": [[""7:00"", ""15:00""]], ""Sun"": [] }",Bakery,,,2019-07,POLYGON
217,223-222@5py-nkv-n5z,,Barrel House Distilling,,,Beverage Manufacturing,Distilleries,312140.0,38.056356,-84.51907,1200 Manchester St,Lexington,KY,40504,US,18592590159.0,"{ ""Mon"": [], ""Tue"": [], ""Wed"": [[""11:00"", ""17:00""]], ""Thu"": [[""11:00"", ""17:00""]], ""Fri"": [[""11:00"", ""17:00""]], ""Sat"": [[""11:00"", ""17:00""]], ""Sun"": [[""11:00"", ""17:00""]] }",Brewery or Brewpub,,,2019-07,POLYGON
218,222-222@8gg-w4g-qvf,,Mental Health Ctr Anderson Oconee Pickens County,,,Offices of Other Health Practitioners,Offices of Mental Health Practitioners (except Physicians),621330.0,34.530965,-82.684133,200 McGee Rd,Anderson,SC,29625,US,18642602220.0,,,,,2019-07,POLYGON
219,zzw-222@5pw-6q8-snq,zzw-226@5pw-6q8-s5z,Svelte Body Systems,,,Building Equipment Contractors,"Plumbing, Heating, and Air-Conditioning Contractors",238220.0,42.046771,-87.682986,820 Davis St Ste 432,Evanston,IL,60201,US,18477725487.0,"{ ""Mon"": [[""7:00"", ""21:00""]], ""Tue"": [[""7:00"", ""21:00""]], ""Wed"": [[""7:00"", ""21:00""]], ""Thu"": [[""7:00"", ""21:00""]], ""Fri"": [[""7:00"", ""21:00""]], ""Sat"": [[""7:00"", ""19:00""]], ""Sun"": [[""7:00"", ""19:00""]] }",,,,2019-07,POLYGON
220,227-222@5pw-6cf-7bk,,MB Financial Bank,,,Depository Credit Intermediation,Commercial Banking,522110.0,41.728573,-87.55002,3030 E 92nd St,Chicago,IL,60617,US,,"{ ""Mon"": [[""8:30"", ""17:00""]], ""Tue"": [[""8:30"", ""17:00""]], ""Wed"": [[""8:30"", ""17:00""]], ""Thu"": [[""8:30"", ""17:00""]], ""Fri"": [[""8:30"", ""18:00""]], ""Sat"": [[""8:30"", ""13:00""]], ""Sun"": [[""9:00"", ""13:00""]] }",,,,2019-07,POLYGON
221,222-222@5s6-gj9-q4v,,St Joseph's Church,,,Religious Organizations,Religious Organizations,813110.0,41.642558,-85.407667,50 N 100 E,Lagrange,IN,46761,US,12604633472.0,"{ ""Mon"": [[""9:00"", ""14:00""]], ""Tue"": [[""9:00"", ""16:30""]], ""Wed"": [[""12:00"", ""17:00""]], ""Thu"": [[""9:00"", ""12:00""]], ""Fri"": [], ""Sat"": [], ""Sun"": [] }",,,,2019-07,POLYGON
222,222-223@5qw-nyk-tqf,222-222@5qw-nyk-tqf,Steak 'n Shake,SG_BRAND_874cb469d80d29bc5ffec4dea96b77e2,Steak 'n Shake,Restaurants and Other Eating Places,Limited-Service Restaurants,722513.0,32.475449,-96.980792,1110 E Main St,Midlothian,TX,76065,US,14696125077.0,"{ ""Mon"": [[""10:00"", ""22:00""]], ""Tue"": [[""10:00"", ""22:00""]], ""Wed"": [[""10:00"", ""22:00""]], ""Thu"": [[""10:00"", ""22:00""]], ""Fri"": [[""10:00"", ""22:00""]], ""Sat"": [[""10:00"", ""22:00""]], ""Sun"": [[""10:00"", ""22:00""]] }","Counter Service,Ice Cream Shop,Late Night,Lunch,Fast Food,Drive Through,Breakfast,Dinner,Burgers",,,2019-07,POLYGON
223,22v-222@62k-sw4-zvf,,Bang Cut & Color,,,Personal Care Services,Beauty Salons,812112.0,43.653395,-70.265809,659 Congress St,Portland,ME,4101,US,12077748383.0,"{ ""Mon"": [], ""Tue"": [[""11:00"", ""20:00""]], ""Wed"": [[""9:00"", ""20:00""]], ""Thu"": [[""10:00"", ""20:00""]], ""Fri"": [[""9:00"", ""18:00""]], ""Sat"": [[""9:00"", ""15:00""]], ""Sun"": [] }",,,,2019-07,POLYGON
224,zzw-222@8fc-g7x-zxq,,Stuttgarden Tavern,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511.0,29.406618,-95.026244,10000 Emmett F Lowry Expy Ste 1346,Texas City,TX,77591,US,14093169409.0,"{ ""Mon"": [[""0:00"", ""2:00""], [""11:00"", ""24:00""]], ""Tue"": [[""0:00"", ""2:00""], [""11:00"", ""24:00""]], ""Wed"": [[""0:00"", ""2:00""], [""11:00"", ""24:00""]], ""Thu"": [[""0:00"", ""2:00""], [""11:00"", ""24:00""]], ""Fri"": [[""0:00"", ""2:00""], [""11:00"", ""24:00""]], ""Sat"": [[""0:00"", ""2:00""], [""11:00"", ""24:00""]], ""Sun"": [[""0:00"", ""2:00""], [""11:00"", ""24:00""]] }","Bar or Pub,Sports Bar,Late Night,German Food",,,2019-07,POLYGON
225,224-223@627-wc7-fzz,,Emil Olaf,,,Personal Care Services,Beauty Salons,812112.0,40.724317,-74.008033,229 Hudson St,New York,NY,10013,US,19292415785.0,,,,,2019-07,POLYGON
226,223-222@5sb-57q-8n5,,Schwarz Insurance,,,"Agencies, Brokerages, and Other Insurance Related Activities",Insurance Agencies and Brokerages,524210.0,43.293212,-89.723386,350 Prairie St,Prairie du Sac,WI,53578,US,,"{ ""Mon"": [[""9:00"", ""17:00""]], ""Tue"": [[""9:00"", ""17:00""]], ""Wed"": [[""9:00"", ""17:00""]], ""Thu"": [[""9:00"", ""17:00""]], ""Fri"": [[""9:00"", ""17:00""]], ""Sat"": [[""9:00"", ""17:00""]], ""Sun"": [[""9:00"", ""17:00""]] }",,,,2019-07,POLYGON
227,226-222@8sv-2fx-9zz,,First United Methodist Church,,,Religious Organizations,Religious Organizations,813110.0,30.572556,-100.645308,205 N Water Ave,Sonora,TX,76950,US,13253872684.0,,,,,2019-07,POLYGON
228,zzw-222@5xc-kg8-j5f,,PostalAnnex+,SG_BRAND_750c44cf5feb72dd1601471cc27346ea,PostalAnnex+,"Advertising, Public Relations, and Related Services",Direct Mail Advertising,541860.0,45.437004,-122.830198,14845 SW Murray Scholls Dr 14845 SW Murray Scholls,Beaverton,OR,97007,US,15035794750.0,"{ ""Mon"": [[""7:00"", ""20:00""]], ""Tue"": [[""7:00"", ""20:00""]], ""Wed"": [[""7:00"", ""20:00""]], ""Thu"": [[""7:00"", ""20:00""]], ""Fri"": [[""7:00"", ""20:00""]], ""Sat"": [[""8:00"", ""18:00""]], ""Sun"": [[""10:00"", ""17:00""]] }",,,,2019-07,POLYGON
229,224-222@5xc-knt-vs5,,Oregon Auto Center,,,Automobile Dealers,Used Car Dealers,441120.0,45.459454,-122.578494,8864 SE 82nd Ave,Happy Valley,OR,97086,US,15039542215.0,"{ ""Mon"": [[""10:00"", ""19:00""]], ""Tue"": [[""10:00"", ""19:00""]], ""Wed"": [[""10:00"", ""19:00""]], ""Thu"": [[""10:00"", ""19:00""]], ""Fri"": [[""10:00"", ""19:00""]], ""Sat"": [[""10:00"", ""19:00""]], ""Sun"": [[""10:00"", ""18:00""]] }",,,2020-01,2019-07,POLYGON
230,226-223@5p2-6j7-vmk,226-222@5p2-6j7-vmk,Logan Country Store,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511.0,41.642828,-95.791619,121 W 7th St,Logan,IA,51546,US,,,Pizza,,,2019-07,POLYGON
231,224-222@8gn-zwd-7kf,,Steve's Tire Empire,,,Automotive Repair and Maintenance,General Automotive Repair,811111.0,30.361243,-81.653034,3707 N Main St,Jacksonville,FL,32206,US,19043563669.0,"{ ""Mon"": [[""8:00"", ""20:00""]], ""Tue"": [[""8:00"", ""20:00""]], ""Wed"": [[""8:00"", ""20:00""]], ""Thu"": [[""8:00"", ""20:00""]], ""Fri"": [[""8:00"", ""20:00""]], ""Sat"": [[""8:00"", ""20:00""]], ""Sun"": [[""9:00"", ""19:00""]] }",,,,2019-07,POLYGON
232,zzw-222@8fy-6d5-4y9,,Jes Memorial Sda School,,,Elementary and Secondary Schools,Elementary and Secondary Schools,611110.0,27.406937,-80.373543,3201 Memory Ln Frnt,Fort Pierce South,FL,34981,US,,,,,,2019-07,POLYGON
233,222-222@5py-sts-49z,,Glendale Fish & Wildlife Area,,,RV (Recreational Vehicle) Parks and Recreational Camps,RV (Recreational Vehicle) Parks and Campgrounds,721211.0,38.551711,-87.051503,6001 E 600 S,Montgomery,IN,47558,US,18126447711.0,,,,,2019-07,POLYGON
234,227-222@8gh-mhr-249,,Perfection's Detail and Wash,,,Automotive Repair and Maintenance,Car Washes,811192.0,30.781119,-85.247259,2963 Milton Ave,Marianna,FL,32448,US,18504824435.0,,,,,2019-07,POLYGON
235,225-222@628-r7v-dvz,,Avon Manor,,,Traveler Accommodation,Hotels (except Casino Hotels) and Motels,721110.0,40.191757,-74.012485,109 Sylvania Ave,Avon-by-the-Sea,NJ,7717,US,17327767770.0,"{ ""Mon"": [[""10:00"", ""22:00""]], ""Tue"": [[""10:00"", ""22:00""]], ""Wed"": [[""10:00"", ""22:00""]], ""Thu"": [[""10:15"", ""22:30""]], ""Fri"": [[""10:00"", ""22:00""]], ""Sat"": [[""10:00"", ""22:00""]], ""Sun"": [[""10:00"", ""22:00""]] }",,,,2019-07,POLYGON
236,223-222@5sb-dfx-wff,,Church Of Jesus Christ Of The Apostolic Faith,,,Religious Organizations,Religious Organizations,813110.0,42.382921,-87.991859,7681 Mendocino Dr,Gurnee,IL,60031,US,,,,,,2019-07,POLYGON
237,22w-222@627-wc7-x89,,Christine Chin Spa,,,Personal Care Services,Other Personal Care Services,812199.0,40.717744,-73.989957,82 Orchard St,New York,NY,10002,US,12123530503.0,"{ ""Mon"": [[""10:00"", ""19:00""]], ""Tue"": [[""10:00"", ""19:00""]], ""Wed"": [[""10:00"", ""19:00""]], ""Thu"": [[""10:00"", ""19:00""]], ""Fri"": [[""10:00"", ""19:00""]], ""Sat"": [[""10:00"", ""19:00""]], ""Sun"": [[""10:00"", ""19:00""]] }",,,,2019-07,POLYGON
238,zzw-226@8gj-8zr-7nq,228-22b@8gj-8zr-5fz,Talbots,SG_BRAND_fc3844062a563161e27e2c9db9ad4665,Talbots,Clothing Stores,Women's Clothing Stores,448120.0,30.437662,-84.253578,1500 Apalachee Pkwy,Tallahassee,FL,32301,US,18502191799.0,,,,,2019-07,POLYGON
239,232-222@5x4-4fw-54v,,Westernco's Donut House,,,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515.0,47.683348,-122.376542,7500 15th Ave NW,Seattle,WA,98117,US,12067834245.0,,"Bakery,Donut Shop",,2020-01,2019-07,POLYGON
240,227-222@8gg-399-2p9,,HandsInMotion Massage Therapy,,,Offices of Other Health Practitioners,Offices of All Other Miscellaneous Health Practitioners,621399.0,35.441545,-80.596765,236 Le Phillip Ct NE Ste A,Concord,NC,28025,US,17049609962.0,"{ ""Mon"": [[""9:15"", ""18:00""]], ""Tue"": [[""9:15"", ""18:00""]], ""Wed"": [[""9:15"", ""18:00""]], ""Thu"": [[""9:15"", ""18:00""]], ""Fri"": [[""9:15"", ""18:00""]], ""Sat"": [], ""Sun"": [] }",,,,2019-07,POLYGON
241,223-222@8dx-yd5-n3q,,Haygood Family Dental Clinic,,,Offices of Dentists,Offices of Dentists,621210.0,31.571735,-91.446226,1644 Carter St,Vidalia,LA,71373,US,13183364211.0,"{ ""Mon"": [[""8:00"", ""17:00""]], ""Tue"": [[""8:00"", ""17:00""]], ""Wed"": [[""8:00"", ""17:00""]], ""Thu"": [[""8:00"", ""17:00""]], ""Fri"": [[""8:00"", ""12:00""]], ""Sat"": [], ""Sun"": [] }",,,,2019-07,POLYGON
242,zzw-222@8gh-n2y-rzf,,Temple Of God In Christ,,,Religious Organizations,Religious Organizations,813110.0,30.493124,-84.249649,3150 Windsong Dr Apt 2112,Tallahassee,FL,32308,US,,,,,,2019-07,POLYGON
243,232-222@5vg-7gz-7wk,,Church Of The Synaxis Of The Holy Theotokos,,,Religious Organizations,Religious Organizations,813110.0,37.769263,-122.435593,720 Duboce Ave,San Francisco,CA,94117,US,,,,,,2019-07,POLYGON
244,223-225@8gq-88z-t7q,223-224@8gq-88z-t7q,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,Subway,Restaurants and Other Eating Places,Limited-Service Restaurants,722513.0,29.364377,-81.968041,14780 NE Highway 315,Fort Mc Coy,FL,32134,US,13522369903.0,,"Counter Service,Sandwich Shop,Lunch,Breakfast,Dinner",,,2019-07,POLYGON
245,zzw-224@5r5-jj8-kpv,,ProSource Wholesale Flooring,SG_BRAND_5ec45d2cc24bed1baff97fd5de492d68,ProSource Wholesale Flooring,Home Furnishings Stores,Floor Covering Stores,442210.0,37.675306,-97.430051,535 S Emerson St,Wichita,KS,67209,US,13162237902.0,,,,,2020-12,POLYGON
246,224-223@8gq-vjt-zs5,,Good Vibes Nutrition Of Palm Coast,,,Personal Care Services,Diet and Weight Reducing Centers,812191.0,29.551987,-81.25322,209 Saint Joe Plaza Dr,Palm Coast,FL,32164,US,13865034275.0,,,,,2019-07,POLYGON
247,222-223@5s5-xpj-gp9,,Ronny Hourani DDS,,,Offices of Dentists,Offices of Dentists,621210.0,42.012958,-83.942873,101 Brown St,Tecumseh,MI,49286,US,,,,,,2019-07,POLYGON
248,zzy-225@5qd-jrc-vvf,zzw-222@5qd-jrc-vvf,Southwest Medical Group Primary Care,,,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),621111.0,37.36212,-108.574562,1311A N Mildred Rd Ste D,Cortez,CO,81321,US,,"{ ""Mon"": [[""8:00"", ""17:00""]], ""Tue"": [[""8:00"", ""17:00""]], ""Wed"": [[""8:00"", ""17:00""]], ""Thu"": [[""8:00"", ""17:00""]], ""Fri"": [[""8:00"", ""17:00""]], ""Sat"": [], ""Sun"": [] }",,,,2019-07,POLYGON
249,22x-222@627-wh2-n5z,,Windsor Cafe,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511.0,40.660176,-73.980829,220 Prospect Park W,Brooklyn,NY,11215,US,17187889700.0,"{ ""Mon"": [[""7:00"", ""21:00""]], ""Tue"": [[""7:00"", ""21:00""]], ""Wed"": [[""7:00"", ""21:00""]], ""Thu"": [[""7:00"", ""21:00""]], ""Fri"": [[""7:00"", ""22:00""]], ""Sat"": [[""7:00"", ""22:00""]], ""Sun"": [[""7:00"", ""21:00""]] }","Sandwich Shop,Brunch",,,2019-07,POLYGON
250,222-222@5wj-83s-d9z,,Russell Cellular,SG_BRAND_2dee45f56d32d8a9,Russell Cellular,Electronics and Appliance Stores,Electronics Stores,443142.0,46.251051,-114.155694,410 N 1st St,Hamilton,MT,59840,US,14063632330.0,,,,,2020-09,POLYGON
251,222-222@5nw-5qy-k4v,,The Flower Patch,,,Florists,Florists,453110.0,43.170428,-97.081106,100 E Park Ave,Viborg,SD,57070,US,16057661020.0,,,,,2019-07,POLYGON
252,zzw-223@65z-wgh-m8v,zzw-222@65z-wgh-m8v,Catholic Daughters Of The Americas,,,Religious Organizations,Religious Organizations,813110.0,43.60359,-73.27038,11 Mechanic St,Fair Haven,VT,5743,US,,,,,,2019-07,POLYGON
253,zzw-223@5sc-cqs-649,,Bavarian Bierhaus,,,Beverage Manufacturing,Breweries,312120.0,43.115777,-87.92026,700 W Lexington Blvd,Glendale,WI,53217,US,14142367000.0,"{ ""Mon"": [], ""Tue"": [[""16:00"", ""22:00""]], ""Wed"": [[""16:00"", ""22:00""]], ""Thu"": [[""16:00"", ""22:00""]], ""Fri"": [[""11:00"", ""24:00""]], ""Sat"": [[""11:00"", ""24:00""]], ""Sun"": [[""11:00"", ""21:00""]] }",,,,2019-07,POLYGON
254,226-222@628-p8r-9cq,,Sunoco,SG_BRAND_8d819ffb9fa80295260ecf779927ef25,Sunoco,Gasoline Stations,Gasoline Stations with Convenience Stores,447110.0,40.089793,-74.940111,1432 Street Rd,Eddington,PA,19020,US,12152440908.0,,,,,2019-07,POLYGON
255,222-222@8f7-4f9-rkz,,Mighy Miss Brewing Company,,,Beverage Manufacturing,Breweries,312120.0,33.410036,-91.059667,525 Washington Ave Ste B,Greenville,MS,38701,US,16623796477.0,"{ ""Mon"": [], ""Tue"": [], ""Wed"": [[""17:00"", ""22:00""]], ""Thu"": [[""17:00"", ""22:00""]], ""Fri"": [[""17:00"", ""22:00""]], ""Sat"": [[""17:00"", ""22:00""]], ""Sun"": [] }",Brewery or Brewpub,,2020-01,2019-07,POLYGON
256,224-223@627-tf4-xt9,,Great Shapes,,,Clothing Stores,Women's Clothing Stores,448120.0,40.660408,-73.54063,2300 Merrick Rd,Merrick,NY,11566,US,15168677711.0,,,,2020-01,2019-07,POLYGON
257,226-226@63h-v9b-qfz,,Decker John B DDS,,,Offices of Dentists,Offices of Dentists,621210.0,39.724114,-82.601886,115 W Fair Ave,Lancaster,OH,43130,US,,,,,,2019-07,POLYGON
258,222-222@5r7-d77-xdv,,Main Street Mini Storage,,,Lessors of Real Estate,Lessors of Miniwarehouses and Self-Storage Units,531130.0,35.089781,-96.406639,130 Broadway of America,Holdenville,OK,74848,US,14053795116.0,,,,,2019-07,POLYGON
259,22k-222@5r8-6jn-v9f,,C3 Homes and Communities,,,Nursing Care Facilities (Skilled Nursing Facilities),Nursing Care Facilities (Skilled Nursing Facilities),623110.0,36.357961,-94.289416,429 W Centerton Blvd,Centerton,AR,72719,US,14797172282.0,"{ ""Mon"": [[""8:00"", ""18:00""]], ""Tue"": [[""8:00"", ""18:00""]], ""Wed"": [[""8:00"", ""18:00""]], ""Thu"": [[""8:00"", ""18:00""]], ""Fri"": [[""8:00"", ""18:00""]], ""Sat"": [[""9:00"", ""17:00""]], ""Sun"": [[""12:00"", ""16:00""]] }",,,,2019-07,POLYGON
260,zzw-222@5pw-9xv-dvz,,Indiana Beach,,,Amusement Parks and Arcades,Amusement and Theme Parks,713110.0,40.791359,-86.7713,5224 E Indiana Beach Rd,Monticello,IN,47960,US,,,,,,2019-07,POLYGON
261,223-222@8fz-hf9-sdv,,NAPA Auto Parts,SG_BRAND_dddd21f70594bf6e,NAPA Auto Parts,"Automotive Parts, Accessories, and Tire Stores",Automotive Parts and Accessories Stores,441310.0,27.208859,-81.842985,1965 SE Carlstrom Field Rd,Southeast Arcadia,FL,34266,US,18634943212.0,,,,2020-09,2019-07,POLYGON
262,225-223@63c-nmw-9pv,225-222@63c-nmw-9pv,Western Union,SG_BRAND_9ee39f394d21a7f4848ab78a78da00c3,Western Union,Activities Related to Credit Intermediation,Other Activities Related to Credit Intermediation,522390.0,39.335157,-82.052743,1016 E State St,Athens,OH,45701,US,,,,,,2021-02,POLYGON
263,zzw-225@5yw-82h-7yv,,Kaia FIT,SG_BRAND_cfcf2155c9834506,Kaia FIT,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,713940.0,39.593597,-119.249608,870 Cottonwood Lane None,Fernley,NV,89408,US,,"{ ""Mon"": [[""5:00"", ""19:00""]], ""Tue"": [[""5:00"", ""19:00""]], ""Wed"": [[""5:00"", ""19:00""]], ""Thu"": [[""5:00"", ""19:00""]], ""Fri"": [[""18:00"", ""19:00""]], ""Sat"": [[""8:00"", ""21:00""]], ""Sun"": [] }",,,,2019-07,POLYGON
